address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
4026 Canal St,Dallas,75210,69900,,,,1954,4966,Vacant Land,,75,48113002703,Dallas,13.86,23.27,32.771816,-96.747297,https://www.redfin.com/TX/Dallas/4026-Canal-St-75210/home/30805179
4515 Canal St,Dallas,75210,78000,,,,,6011,Vacant Land,,79,48113002703,Dallas,13.64,23.15,32.7763641,-96.7437139,https://www.redfin.com/TX/Dallas/4515-Canal-St-75210/home/30815382
4209 Metropolitan Ave,Dallas,75210,234900,2,2.0,1208,2022,6795,Single Family Residential,,84,48113002703,Dallas,13.59,23.0,32.7752559,-96.7497694,https://www.redfin.com/TX/Dallas/4209-Metropolitan-Ave-75210/home/30804552
3515 Jamaica St,Dallas,75210,44900,,,,,6968,Vacant Land,,101,48113002703,Dallas,13.88,23.18,32.7695892,-96.7535215,https://www.redfin.com/TX/Dallas/3515-Jamaica-St-75210/home/30804628
3535 Spring Ave,Dallas,75210,269900,3,3.0,1692,2025,4008,Single Family Residential,,104,48113002703,Dallas,14.06,23.39,32.7678198,-96.7503888,https://www.redfin.com/TX/Dallas/3535-Spring-Ave-75210/home/30804712
4523 Metropolitan Ave,Dallas,75210,272800,3,2.0,1415,2025,5968,Single Family Residential,,104,48113002703,Dallas,13.44,22.94,32.7787195,-96.7459207,https://www.redfin.com/TX/Dallas/4523-Metropolitan-Ave-75210/home/30815580
3512 Hamilton Ave,Dallas,75210,259000,3,2.0,1220,2021,6316,Single Family Residential,,112,48113002703,Dallas,13.77,23.05,32.7709502,-96.7551668,https://www.redfin.com/TX/Dallas/3512-Hamilton-Ave-75210/home/30802002
4723 Collins Ave,Dallas,75210,350000,,,,,43587,Vacant Land,,113,48113002703,Dallas,13.61,23.15,32.7774977,-96.741933,https://www.redfin.com/TX/Dallas/4723-Collins-Ave-75210/home/30815891
4719 Collins Ave,Dallas,75210,350000,,,,,43587,Vacant Land,,113,48113002703,Dallas,13.62,23.16,32.777238,-96.7422053,https://www.redfin.com/TX/Dallas/4719-Collins-Ave-75210/home/30815892
4638 Collins Ave Collins Ave,Dallas,75210,350000,,,,,43659,Vacant Land,,113,48113002703,Dallas,13.65,23.21,32.777176,-96.740691,https://www.redfin.com/TX/Dallas/4638-Collins-Ave-75210/home/30816014
