address,city,zip,price,beds,baths,sqft,year_built,lot_size,property_type,hoa_month,days_on_market,tract_geoid,county_name,dist_to_addison_mi,dist_to_lewisville_mi,latitude,longitude,redfin_url
4203 Bonnie View Rd,Dallas,75216,224999,3,1.0,1028,1951,10442,Single Family Residential,,30,48113008703,Dallas,17.71,26.12,32.7079265,-96.7748821,https://www.redfin.com/TX/Dallas/4203-Bonnie-View-Rd-75216/home/30904590
4438 Tacoma St,Dallas,75216,407000,4,3.5,2154,2026,8189,Single Family Residential,,42,48113008703,Dallas,18.0,26.39,32.7037426,-96.7742498,https://www.redfin.com/TX/Dallas/4438-Tacoma-St-75216/home/30905506
2614 Fordham Rd,Dallas,75216,240000,2,1.0,768,1938,8059,Single Family Residential,,70,48113008703,Dallas,17.76,26.01,32.7060036,-96.7830693,https://www.redfin.com/TX/Dallas/2614-Fordham-Rd-75216/home/30887514
2618 Fordham Rd,Dallas,75216,160000,3,1.0,892,1938,7841,Single Family Residential,,80,48113008703,Dallas,17.76,26.02,32.7060697,-96.7828713,https://www.redfin.com/TX/Dallas/2618-Fordham-Rd-75216/home/30887523
2211 E Ann Arbor Ave,Dallas,75216,379999,4,3.0,2011,2025,6926,Single Family Residential,,85,48113008703,Dallas,18.3,26.44,32.697765,-96.78608,https://www.redfin.com/TX/Dallas/2211-E-Ann-Arbor-Ave-75216/home/30886961
2667 Custer Dr,Dallas,75216,225000,3,1.0,1300,1950,8407,Single Family Residential,,86,48113008703,Dallas,17.86,26.16,32.7049684,-96.7798663,https://www.redfin.com/TX/Dallas/2667-Custer-Dr-75216/home/30904872
2407 E Ann Arbor Ave,Dallas,75216,100000,,,,,7405,Vacant Land,,111,48113008703,Dallas,18.21,26.43,32.699486,-96.782594,https://www.redfin.com/TX/Dallas/2407-Ann-Arbor-Ave-75216/home/179944099
2403 E Ann Arbor Ave,Dallas,75216,100000,,,,2016,7405,Vacant Land,,111,48113008703,Dallas,18.21,26.42,32.6994941,-96.7827476,https://www.redfin.com/TX/Dallas/2403-Ann-Arbor-Ave-75216/home/180001762
2143 E Ann Arbor,Dallas,75216,40000,,,,,8308,Vacant Land,,112,48113008703,Dallas,18.27,26.39,32.697978,-96.787458,https://www.redfin.com/TX/Dallas/2143-E-Ann-Arbor-Ave-75216/home/30887011
2419 Scotland Dr,Dallas,75216,215000,3,2.0,1211,2004,6882,Single Family Residential,,160,48113008703,Dallas,18.09,26.3,32.7012061,-96.7832307,https://www.redfin.com/TX/Dallas/2419-Scotland-Dr-75216/home/30887355
2722 Locust Ave,Dallas,75216,185000,3,1.5,1200,1951,7144,Single Family Residential,,164,48113008703,Dallas,17.92,26.25,32.7043124,-96.7779967,https://www.redfin.com/TX/Dallas/2722-Locust-Ave-75216/home/30904662
4327 Gladewater Rd,Dallas,75216,25000,,,,,10106,Vacant Land,,174,48113008703,Dallas,18.25,26.37,32.6982199,-96.7877357,https://www.redfin.com/TX/Dallas/4327-Gladewater-Rd-75216/home/30854898
2734 Fordham Rd,Dallas,75216,274900,5,4.0,2168,1949,6665,Single Family Residential,,180,48113008703,Dallas,17.68,26.01,32.7075982,-96.7796229,https://www.redfin.com/TX/Dallas/2734-Fordham-Rd-75216/home/30904746
2542 Wilhurt Ave,Dallas,75216,179999,3,1.5,1152,2004,7536,Single Family Residential,,201,48113008703,Dallas,17.9,26.14,32.7040585,-96.7827639,https://www.redfin.com/TX/Dallas/2542-Wilhurt-Ave-75216/home/30887457
4207 Aztec Dr,Dallas,75216,289000,3,2.0,1386,1950,7884,Single Family Residential,,238,48113008703,Dallas,17.98,26.21,32.7027166,-96.783218,https://www.redfin.com/TX/Dallas/4207-Aztec-Dr-75216/home/30905315
1445 Templecliff Dr,Dallas,75217,240000,3,2.0,1360,1955,8799,Single Family Residential,,66,48113009103,Dallas,17.01,26.68,32.7380013,-96.7033827,https://www.redfin.com/TX/Dallas/1445-Templecliff-Dr-75217/home/30916469
8842 Donnybrook Ln,Dallas,75217,275000,4,2.0,1450,1959,7131,Single Family Residential,,71,48113009204,Dallas,17.35,27.41,32.7475663,-96.6707005,https://www.redfin.com/TX/Dallas/8842-Donnybrook-Ln-75217/home/30921743
9255 Palisade Dr,Dallas,75217,275000,3,2.0,1518,1958,7928,Single Family Residential,,97,48113009204,Dallas,17.61,27.73,32.7470819,-96.6631921,https://www.redfin.com/TX/Dallas/9255-Palisade-Dr-75217/home/30922154
1924 Oak Hill Cir,Dallas,75217,230000,3,2.0,1146,1962,7285,Single Family Residential,,112,48113009204,Dallas,17.45,27.49,32.7453344,-96.6715811,https://www.redfin.com/TX/Dallas/1924-Oak-Hill-Cir-75217/home/30922331
1828 Riverway Dr,Dallas,75217,378900,4,3.0,1979,1960,33933,Single Family Residential,,188,48113009204,Dallas,17.85,27.94,32.7428499,-96.6633165,https://www.redfin.com/TX/Dallas/1828-Riverway-Dr-75217/home/30922172
742 Ella Ave,Dallas,75217,298000,4,2.0,1672,2026,6970,Single Family Residential,,2,48113009303,Dallas,17.51,26.96,32.7261017,-96.7140327,https://www.redfin.com/TX/Dallas/742-Ella-Ave-75217/home/30918625
6331 Fenway St,Dallas,75217,245000,4,2.0,1180,1961,7492,Single Family Residential,,8,48113009303,Dallas,17.36,26.86,32.7292067,-96.7119813,https://www.redfin.com/TX/Dallas/6331-Fenway-St-75217/home/30918466
515 Elkhart Ave,Dallas,75217,217700,3,1.0,1066,1955,7231,Single Family Residential,,12,48113009303,Dallas,17.89,27.3,32.7203428,-96.7134658,https://www.redfin.com/TX/Dallas/515-Elkhart-Ave-75217/home/30919222
715 Ezekial Ave,Dallas,75217,279900,3,2.0,1470,1935,5975,Single Family Residential,,13,48113009303,Dallas,17.66,27.15,32.7249998,-96.7102128,https://www.redfin.com/TX/Dallas/715-Ezekial-Ave-75217/home/30918772
6245 Fenway St,Dallas,75217,255000,4,2.0,1332,1956,7492,Single Family Residential,,16,48113009303,Dallas,17.32,26.8,32.7292073,-96.7135465,https://www.redfin.com/TX/Dallas/6245-Fenway-St-75217/home/30918474
6257 Fenway St,Dallas,75217,244999,3,2.0,1428,1962,7500,Single Family Residential,,24,48113009303,Dallas,17.33,26.82,32.7292106,-96.7129498,https://www.redfin.com/TX/Dallas/6257-Fenway-St-75217/home/30918479
643 Rayenell Ave,Dallas,75217,350000,4,3.0,2010,2026,7754,Single Family Residential,,28,48113009303,Dallas,17.84,27.36,32.723622,-96.706446,https://www.redfin.com/TX/Dallas/643-Rayenell-Ave-75217/home/30918085
607 Bethpage Ave,Dallas,75217,304999,4,3.5,2256,1923,6926,Single Family Residential,,63,48113009303,Dallas,17.81,27.26,32.7224011,-96.7112394,https://www.redfin.com/TX/Dallas/607-Bethpage-Ave-75217/home/30919380
6369 Sarah Lee Dr,Dallas,75217,79999,,,,,11500,Vacant Land,,64,48113009303,Dallas,17.28,26.81,32.730882,-96.710823,https://www.redfin.com/TX/Dallas/6369-Sarah-Lee-Dr-75217/home/30917632
803 Rayenell Ave,Dallas,75217,374000,4,2.0,2460,2025,7449,Single Family Residential,,148,48113009303,Dallas,17.61,27.16,32.7272157,-96.7063825,https://www.redfin.com/TX/Dallas/803-Rayenell-Ave-75217/home/30918055
714 Neomi Ave,Dallas,75217,147500,2,1.0,672,1960,7187,Single Family Residential,,283,48113009303,Dallas,17.52,26.94,32.7250255,-96.7163751,https://www.redfin.com/TX/Dallas/714-Neomi-Ave-75217/home/30918963
233 Creek Cove Dr,Dallas,75217,174999,3,2.0,996,1972,3659,Townhouse,,30,48113009304,Dallas,18.23,27.65,32.7160044,-96.710279,https://www.redfin.com/TX/Dallas/233-Creek-Cove-Dr-75217/home/30919397
451 N Jim Miller Rd,Dallas,75217,100000,,,,,14810,Vacant Land,,205,48113009304,Dallas,18.23,27.79,32.7195729,-96.7006229,https://www.redfin.com/TX/Dallas/451-N-Jim-Miller-Rd-75217/home/176070911
1 S Great Trinity Forest Way,Dallas,75217,95000,,,,,13329,Vacant Land,,724,48113009304,Dallas,18.78,28.37,32.713641,-96.693194,https://www.redfin.com/TX/Dallas/1-Great-Trinity-Forest-Way-75217/home/30920932
7455 Great Trinity Forest Way,Dallas,75217,95000,,,,,13678,Vacant Land,,724,48113009304,Dallas,18.78,28.36,32.713654,-96.693465,https://www.redfin.com/TX/Dallas/7455-Great-Trinity-Forest-Way-75217/home/30920931
9818 Valley Meadow Pl,Dallas,75220,215000,2,1.5,1034,1968,192797,Condo/Co-op,375,6,48113009804,Dallas,6.43,13.19,32.8750937,-96.8754212,https://www.redfin.com/TX/Dallas/9818-Valley-Meadow-Pl-75220/home/30933364
9852 Brockbank Dr,Dallas,75220,174999,2,1.5,1031,1968,192797,Condo/Co-op,375,14,48113009804,Dallas,6.44,13.18,32.8751158,-96.8757796,https://www.redfin.com/TX/Dallas/9852-Brockbank-Dr-75220/home/30933321
3007 Valley Meadow Dr #3005,Dallas,75220,160000,2,1.5,1034,1968,192797,Condo/Co-op,375,44,48113009804,Dallas,6.32,13.25,32.8756364,-96.8721059,https://www.redfin.com/TX/Dallas/3007-Valley-Meadow-Dr-75220/unit-3005/home/30933376
9843 Park Lane Ct,Dallas,75220,169900,2,1.5,1050,1968,192797,Condo/Co-op,375,103,48113009804,Dallas,6.43,13.19,32.8750933,-96.8753974,https://www.redfin.com/TX/Dallas/9843-Park-Lane-Ct-75220/home/30933493
1534 Briarcliff Rd,Dallas,75235,144000,,,,,7100,Vacant Land,,14,48113010001,Dallas,10.21,17.56,32.8134585,-96.8527678,https://www.redfin.com/TX/Dallas/1534-Briarcliff-Rd-75235/home/169385669
5535 Mesa Cir,Dallas,75235,625000,6,7.0,4200,2026,10106,Multi-Family (2-4 Unit),,32,48113010001,Dallas,10.15,17.48,32.8143791,-96.853499,https://www.redfin.com/TX/Dallas/5535-Mesa-Cir-75235/home/31053219
1646 Briarcliff Rd,Dallas,75235,240000,3,2.0,1204,1949,5706,Single Family Residential,,37,48113010001,Dallas,10.2,17.64,32.813344,-96.850018,https://www.redfin.com/TX/Dallas/1646-Briarcliff-Rd-75235/home/31052924
5646 Arlington Park Dr,Dallas,75235,315900,3,2.0,1068,1950,7797,Single Family Residential,,98,48113010001,Dallas,10.08,17.54,32.815048,-96.8499176,https://www.redfin.com/TX/Dallas/5646-Arlington-Park-Dr-75235/home/31053357
5714 Van Winkle Blvd,Dallas,75235,179000,,,,,6752,Vacant Land,,167,48113010001,Dallas,10.05,17.27,32.816271,-96.857078,https://www.redfin.com/TX/Dallas/5714-Van-Winkle-Blvd-75235/home/195936761
1734 Nomas St,Dallas,75212,155000,,,,,6000,Vacant Land,,110,48113010101,Dallas,12.42,19.71,32.780844955,-96.84788967,https://www.redfin.com/TX/Dallas/1734-Nomas-St-75212/home/199716609
3111 Rutz St,Dallas,75212,330000,3,2.0,1392,2013,3615,Single Family Residential,,1,48113010101,Dallas,12.47,19.83,32.7800254,-96.8451807,https://www.redfin.com/TX/Dallas/3111-Rutz-St-75212/home/30973675
1704 Mcbroom St,Dallas,75212,680000,4,2.5,2878,2024,4792,Single Family Residential,,2,48113010101,Dallas,12.31,19.65,32.782356,-96.84666,https://www.redfin.com/TX/Dallas/1704-McBroom-St-75212/home/30974967
1717 Mcbroom St,Dallas,75212,650000,4,3.5,2561,2023,4792,Single Family Residential,,3,48113010101,Dallas,12.28,19.6,32.7828461,-96.8472054,https://www.redfin.com/TX/Dallas/1717-McBroom-St-75212/home/30974929
1936 Shaw St,Dallas,75212,484900,5,2.5,2408,2021,4008,Single Family Residential,,3,48113010101,Dallas,12.14,19.35,32.7852755,-96.8514536,https://www.redfin.com/TX/Dallas/1936-Shaw-St-75212/home/30976923
2027 Mcbroom St,Dallas,75212,484900,4,2.5,2307,2021,4748,Single Family Residential,,3,48113010101,Dallas,12.32,19.43,32.7828414,-96.8545616,https://www.redfin.com/TX/Dallas/2027-McBroom-St-75212/home/30976184
1739 Mcbroom St,Dallas,75212,307000,3,2.0,1057,2018,4500,Single Family Residential,,6,48113010101,Dallas,12.29,19.59,32.7828052,-96.8479812,https://www.redfin.com/TX/Dallas/1739-McBroom-St-75212/home/169382811
1701 Morris St,Dallas,75212,529900,4,3.0,1805,2022,5184,Single Family Residential,,11,48113010101,Dallas,12.23,19.57,32.7836063,-96.8465313,https://www.redfin.com/TX/Dallas/1701-Morris-St-75212/home/30974842
2043 Canada Dr,Dallas,75212,890000,4,4.0,3603,2020,8333,Single Family Residential,,16,48113010101,Dallas,11.63,18.78,32.7929813,-96.8550873,https://www.redfin.com/TX/Dallas/2043-Canada-Dr-75212/home/30976934
1823 Leath St,Dallas,75212,185500,,,,,6621,Vacant Land,,17,48113010101,Dallas,11.82,19.14,32.7896656,-96.84886,https://www.redfin.com/TX/Dallas/1823-Leath-St-75212/home/30976625
1928 Pueblo St,Dallas,75212,475000,4,2.5,3200,2025,4269,Single Family Residential,,20,48113010101,Dallas,12.49,19.67,32.7800991,-96.8517558,https://www.redfin.com/TX/Dallas/1928-Pueblo-St-75212/home/45077853
1802 Pueblo St,Dallas,75212,699900,5,3.5,3164,2022,5619,Single Family Residential,,21,48113010101,Dallas,12.48,19.76,32.7799606,-96.8482951,https://www.redfin.com/TX/Dallas/1802-Pueblo-St-75212/home/30976046
1942 Nomas St,Dallas,75212,584900,5,2.5,2571,2021,5968,Single Family Residential,,23,48113010101,Dallas,12.45,19.61,32.7808098,-96.8521509,https://www.redfin.com/TX/Dallas/1942-Nomas-St-75212/home/30976264
1810 Kraft St,Dallas,75212,799000,4,3.0,2750,2023,4704,Single Family Residential,,30,48113010101,Dallas,12.21,19.5,32.783905,-96.848617,https://www.redfin.com/TX/Dallas/1810-Kraft-St-75212/home/30974510
1940 Shaw St,Dallas,75212,180000,,,,,4008,Vacant Land,,30,48113010101,Dallas,12.14,19.35,32.7852842,-96.8514989,https://www.redfin.com/TX/Dallas/1940-Shaw-St-75212/home/30976924
3415 Chihuahua Ave,Dallas,75212,624900,4,3.5,2540,2024,3703,Single Family Residential,,34,48113010101,Dallas,12.2,19.57,32.7839633,-96.845893,https://www.redfin.com/TX/Dallas/3415-Chihuahua-Ave-75212/home/30973808
1967 Gallagher St,Dallas,75212,799000,5,4.0,4483,2026,6490,Single Family Residential,,36,48113010101,Dallas,12.17,19.33,32.7848758,-96.8532158,https://www.redfin.com/TX/Dallas/1967-Gallagher-St-75212/home/30976522
3629 Vilbig Rd,Dallas,75212,699000,4,3.5,3572,2025,9191,Single Family Residential,,36,48113010101,Dallas,11.98,19.3,32.7873128,-96.8481761,https://www.redfin.com/TX/Dallas/3629-Vilbig-Rd-75212/home/30975982
3415 Vibig Rd,Dallas,75212,185000,,,,,5000,Vacant Land,,44,48113010101,Dallas,12.21,19.51,32.7839762,-96.8482174,https://www.redfin.com/TX/Dallas/3415-Vilbig-Rd-75212/home/30974509
3634 Darien St,Dallas,75212,599500,4,3.5,2500,2026,5532,Single Family Residential,,45,48113010101,Dallas,11.97,19.19,32.78766,-96.851712,https://www.redfin.com/TX/Dallas/3634-Darien-St-75212/home/30739325
1960 Toronto St,Dallas,75212,499900,4,2.5,1975,2023,2701,Single Family Residential,,49,48113010101,Dallas,12.56,19.7,32.7791801,-96.8529306,https://www.redfin.com/TX/Dallas/1960-Toronto-St-75212/home/30976213
1914 Leath St,Dallas,75212,325000,4,3.0,1617,1920,5445,Single Family Residential,,55,48113010101,Dallas,11.86,19.11,32.7892933,-96.8509986,https://www.redfin.com/TX/Dallas/1914-Leath-St-75212/home/30978393
1706 Kraft St,Dallas,75212,519000,4,3.0,1748,2022,4879,Single Family Residential,,56,48113010101,Dallas,12.21,19.55,32.7838912,-96.8466951,https://www.redfin.com/TX/Dallas/1706-Kraft-St-75212/home/30974787
3105 Chihuahua Ave,Dallas,75212,550000,4,2.5,2214,2021,3615,Single Family Residential,,56,48113010101,Dallas,12.49,19.83,32.7796766,-96.8458708,https://www.redfin.com/TX/Dallas/3105-Chihuahua-Ave-75212/home/30973786
1838 Life Ave,Dallas,75212,495000,4,2.0,1830,2022,5314,Single Family Residential,,57,48113010101,Dallas,12.07,19.34,32.7860818,-96.8496887,https://www.redfin.com/TX/Dallas/1838-Life-Ave-75212/home/30976021
1902 Homeland St,Dallas,75212,529995,3,3.5,2160,2024,2788,Single Family Residential,,58,48113010101,Dallas,11.96,19.22,32.7877392,-96.8504763,https://www.redfin.com/TX/Dallas/1902-Homeland-St-75212/home/30976467
1846 Nomas St,Dallas,75212,629900,5,4.0,3212,2020,7971,Single Family Residential,,72,48113010101,Dallas,12.44,19.66,32.7807878,-96.8501422,https://www.redfin.com/TX/Dallas/1846-Nomas-St-75212/home/30976063
2021 Leath St,Dallas,75212,474900,4,3.0,2328,2021,3833,Single Family Residential,,72,48113010101,Dallas,11.85,19.0,32.7897306,-96.8543903,https://www.redfin.com/TX/Dallas/2021-Leath-St-75212/home/30976701
1503 Dennison St,Dallas,75212,794995,5,3.5,3399,2026,4725,Single Family Residential,,76,48113010101,Dallas,12.33,19.74,32.781885,-96.843932,https://www.redfin.com/TX/Dallas/1503-Dennison-St-75212/home/200383606
4016 Puget St,Dallas,75212,795000,4,4.5,3300,2026,4792,Single Family Residential,,78,48113010101,Dallas,11.7,18.89,32.7917612,-96.85333,https://www.redfin.com/TX/Dallas/4016-Puget-St-75212/home/30976773
1702 Nomas St,Dallas,75212,290000,,,,,8973,Vacant Land,,83,48113010101,Dallas,12.41,19.74,32.7808577,-96.8465617,https://www.redfin.com/TX/Dallas/1702-Nomas-St-75212/home/30973754
1502 Morris St,Dallas,75212,135000,,,,,4748,Vacant Land,,87,48113010101,Dallas,12.25,19.67,32.7831153,-96.843983,https://www.redfin.com/TX/Dallas/1502-Morris-St-75212/home/30973517
4007 Puget Ave,Dallas,75212,300000,3,2.0,1100,2004,4182,Single Family Residential,,104,48113010101,Dallas,11.72,18.9,32.7915471,-96.8537098,https://www.redfin.com/TX/Dallas/4007-Puget-St-75212/home/30976795
1967 Leath St,Dallas,75212,599900,4,2.5,2608,2025,4879,Single Family Residential,,115,48113010101,Dallas,11.84,19.03,32.7897162,-96.8530511,https://www.redfin.com/TX/Dallas/1967-Leath-St-75212/home/30976566
3311 Rutz St,Dallas,75212,385000,3,2.5,2342,2022,3615,Single Family Residential,,135,48113010101,Dallas,12.31,19.69,32.7823058,-96.8451673,https://www.redfin.com/TX/Dallas/3311-Rutz-St-75212/home/30973695
TBD Harston St,Dallas,75212,100000,,,,,3000,Vacant Land,,175,48113010101,Dallas,11.86,19.13,32.78915495,-96.85050807,https://www.redfin.com/TX/Dallas/TBD-Harston-St-75212/home/35596864
4031 Brundrette St,Dallas,75212,625000,4,3.0,2869,2025,4792,Single Family Residential,,177,48113010101,Dallas,11.68,18.84,32.7921968,-96.8545753,https://www.redfin.com/TX/Dallas/4031-Brundrette-St-75212/home/30976848
1916 Shaw St,Dallas,75212,545000,4,3.0,2283,2021,5271,Single Family Residential,,204,48113010101,Dallas,12.13,19.36,32.7852737,-96.8507628,https://www.redfin.com/TX/Dallas/1916-Shaw-St-75212/home/147235897
1906 Leath St,Dallas,75212,739000,3,3.5,3310,2025,2614,Single Family Residential,,214,48113010101,Dallas,11.85,19.11,32.7893282,-96.8506976,https://www.redfin.com/TX/Dallas/1906-Leath-St-75212/home/30978395
4029 Ivanhoe Ln,Dallas,75212,875000,5,4.0,3868,2023,7667,Single Family Residential,,215,48113010101,Dallas,11.68,18.81,32.7923206,-96.8555735,https://www.redfin.com/TX/Dallas/4029-Ivanhoe-Ln-75212/home/160965689
1838 Shaw St,Dallas,75212,190000,,,,,4443,Vacant Land,,287,48113010101,Dallas,12.13,19.39,32.7852531,-96.849669,https://www.redfin.com/TX/Dallas/1838-Shaw-St-75212/home/30974569
1514 Bickers St,Dallas,75212,699000,4,3.0,3045,2023,5097,Single Family Residential,,288,48113010101,Dallas,12.0,19.42,32.7867612,-96.8447424,https://www.redfin.com/TX/Dallas/1514-Bickers-St-75212/home/30974754
3321 Coronet Blvd,Dallas,75212,1200000,5,5.5,3675,2024,5053,Single Family Residential,,2,48113010102,Dallas,12.3,20.05,32.7820084,-96.8317305,https://www.redfin.com/TX/Dallas/3321-Coronet-Blvd-75212/home/30971562
3105 Crossman Ave,Dallas,75212,589900,5,3.0,2548,2024,7000,Single Family Residential,,12,48113010102,Dallas,12.47,19.94,32.7797542,-96.8413353,https://www.redfin.com/TX/Dallas/3105-Crossman-Ave-75212/home/30972516
3415 Crossman Ave,Dallas,75212,225000,,,,,6360,Vacant Land,,17,48113010102,Dallas,12.19,19.68,32.783826,-96.841527,https://www.redfin.com/TX/Dallas/3415-Crossman-Ave-75212/home/30973656
3367 Conroe St,Dallas,75212,605000,3,2.5,1891,2023,5009,Single Family Residential,,21,48113010102,Dallas,12.19,19.78,32.7837286,-96.8379184,https://www.redfin.com/TX/Dallas/3367-Conroe-St-75212/home/30972802
828 Mcbroom St,Dallas,75212,799000,4,3.5,2721,2024,4748,Single Family Residential,,24,48113010102,Dallas,12.31,19.92,32.7818949,-96.8371355,https://www.redfin.com/TX/Dallas/828-McBroom-St-75212/home/30972884
3358 Sylvan Ave,Dallas,75212,819900,5,5.5,3506,2026,5576,Single Family Residential,,26,48113010102,Dallas,12.2,19.86,32.7834816,-96.8354008,https://www.redfin.com/TX/Dallas/3358-Sylvan-Ave-75212/home/30972710
1006 Mcbroom St,Dallas,75212,610000,2,2.0,1564,2022,5706,Single Family Residential,,44,48113010102,Dallas,12.32,19.87,32.7818517,-96.83904,https://www.redfin.com/TX/Dallas/1006-McBroom-St-75212/home/30972864
1021 Nomas St,Dallas,75212,579000,2,2.0,1564,2022,5706,Single Family Residential,,56,48113010102,Dallas,12.34,19.87,32.7815776,-96.8396257,https://www.redfin.com/TX/Dallas/1021-Nomas-St-75212/home/30972875
3115 Parvia Ave,Dallas,75212,425000,,,,1948,11238,Vacant Land,,64,48113010102,Dallas,12.43,20.11,32.7801041,-96.8338073,https://www.redfin.com/TX/Dallas/3115-Parvia-Ave-75212/home/30971832
3105 Pastor St,Dallas,75212,629000,4,2.5,2656,2016,3877,Single Family Residential,,73,48113010102,Dallas,12.42,20.24,32.7803161,-96.8287079,https://www.redfin.com/TX/Dallas/3105-Pastor-St-75212/home/30971615
825 Shaw St,Dallas,75212,290000,,,,,8451,Vacant Land,,76,48113010102,Dallas,12.06,19.7,32.7855581,-96.8368741,https://www.redfin.com/TX/Dallas/825-Shaw-St-75212/home/30972759
1001 Singleton Blvd,Dallas,75212,1250000,,,,,14380,Vacant Land,,105,48113010102,Dallas,12.53,20.07,32.7787675,-96.8388263,https://www.redfin.com/TX/Dallas/1001-Singleton-Blvd-75212/home/200077404
3338 Coronet Blvd,Dallas,75212,398000,3,1.0,1116,1950,7231,Single Family Residential,,108,48113010102,Dallas,12.29,20.06,32.7821818,-96.8308317,https://www.redfin.com/TX/Dallas/3338-Coronet-Blvd-75212/home/30971568
3346 Parvia Ave,Dallas,75212,199999,,,,,3746,Vacant Land,,129,48113010102,Dallas,12.23,19.94,32.783064,-96.833364,https://www.redfin.com/TX/Dallas/3346-Parvia-Ave-75212/home/30972917
3350 Parvia Ave,Dallas,75212,199999,,,,1948,3790,Vacant Land,,129,48113010102,Dallas,12.22,19.93,32.7831937,-96.8334423,https://www.redfin.com/TX/Dallas/3350-Parvia-Ave-75212/home/30972920
3412 Borger St,Dallas,75212,265000,,,,,6351,Vacant Land,,156,48113010102,Dallas,12.2,19.68,32.7837811,-96.8418608,https://www.redfin.com/TX/Dallas/3412-Borger-St-75212/home/30973613
3406 Borger St,Dallas,75212,265000,,,,,6360,Vacant Land,,156,48113010102,Dallas,12.2,19.68,32.7836483,-96.8419802,https://www.redfin.com/TX/Dallas/3406-Borger-St-75212/home/30973611
3309 Topeka Ave,Dallas,75212,299000,2,1.0,616,1948,6360,Single Family Residential,,165,48113010102,Dallas,12.27,19.94,32.782486,-96.834952,https://www.redfin.com/TX/Dallas/3309-Topeka-Ave-75212/home/30972747
3351 Sylvan Ave,Dallas,75212,859000,4,5.0,3278,2025,5825,Single Family Residential,,174,48113010102,Dallas,12.22,19.87,32.7832077,-96.8359654,https://www.redfin.com/TX/Dallas/3351-Sylvan-Ave-75212/home/59430686
3320 Parvia Ave,Dallas,75212,250000,2,1.0,560,1948,,Single Family Residential,,199,48113010102,Dallas,12.29,19.99,32.7822005,-96.8335344,https://www.redfin.com/TX/Dallas/3320-Parvia-Ave-75212/home/30972926
3338 Sylvan Ave,Dallas,75212,695000,4,4.0,3222,2024,5532,Single Family Residential,,199,48113010102,Dallas,12.25,19.9,32.7827818,-96.8354715,https://www.redfin.com/TX/Dallas/3338-Sylvan-Ave-75212/home/30972729
3231 Topeka Ave,Dallas,75212,186000,,,,,6251,Vacant Land,,199,48113010102,Dallas,12.33,19.99,32.7815799,-96.8349402,https://www.redfin.com/TX/Dallas/3231-Topeka-Ave-75212/home/30971835
513 Pueblo St,Dallas,75212,230000,,,,1948,14479,Vacant Land,,252,48113010102,Dallas,12.39,20.1,32.7806764,-96.8328371,https://www.redfin.com/TX/Dallas/513-Pueblo-St-75212/home/30971971
517 Pueblo St,Dallas,75212,230000,,,,1948,14479,Vacant Land,,253,48113010102,Dallas,12.39,20.1,32.7806753,-96.8328905,https://www.redfin.com/TX/Dallas/517-Pueblo-St-75212/home/30971970
3102 Chicago St,Dallas,75212,535000,4,3.5,2414,2025,3572,Single Family Residential,,259,48113010102,Dallas,12.48,19.92,32.7796268,-96.8425207,https://www.redfin.com/TX/Dallas/3102-Chicago-St-75212/home/30972646
3023 Parvia Ave,Dallas,75212,549000,4,2.0,1312,1948,7318,Single Family Residential,,358,48113010102,Dallas,12.47,20.15,32.7795024,-96.8337997,https://www.redfin.com/TX/Dallas/3023-Parvia-Ave-75212/home/30971935
3355 Brantley St,Dallas,75212,274999,3,1.0,896,1948,6743,Single Family Residential,,360,48113010102,Dallas,12.2,19.93,32.7833989,-96.8330064,https://www.redfin.com/TX/Dallas/3355-Brantley-St-75212/home/30972900
TBD N Winnetka Ave,Dallas,75212,350000,,,,,9078,Vacant Land,,516,48113010102,Dallas,11.96,19.52,32.78709,-96.839891,https://www.redfin.com/TX/Dallas/TBD-N-Winnetka-Ave-75212/home/193790655
2726 Jeff St,Dallas,75212,110000,,,,,6011,Vacant Land,,185,48113010602,Dallas,13.59,18.67,32.777011,-96.915805,https://www.redfin.com/TX/Dallas/2726-Jeff-St-75212/home/30985629
2722 Jeff St,Dallas,75212,110000,,,,,6011,Vacant Land,,185,48113010602,Dallas,13.6,18.68,32.7768809,-96.9157826,https://www.redfin.com/TX/Dallas/2722-Jeff-St-75212/home/30985668
5418 Singleton Blvd,Dallas,75212,300000,3,2.0,1427,1991,5532,Single Family Residential,,13,48113010602,Dallas,13.4,18.66,32.7782897,-96.910599,https://www.redfin.com/TX/Dallas/5418-Singleton-Blvd-75212/home/30987317
2519 Chalk Hill Rd,Dallas,75212,299900,6,2.5,1586,1945,7492,Single Family Residential,,14,48113010602,Dallas,13.55,19.02,32.7741508,-96.9046262,https://www.redfin.com/TX/Dallas/2519-Chalk-Hill-Rd-75212/home/30986182
5216 Fitchburg St,Dallas,75212,68000,,,,,15943,Vacant Land,,27,48113010602,Dallas,13.75,19.2,32.771358,-96.905564,https://www.redfin.com/TX/Dallas/5216-Fitchburg-St-75212/home/30986349
2503 Jim St,Dallas,75212,375000,4,3.0,1605,2016,6011,Single Family Residential,,27,48113010602,Dallas,13.73,18.85,32.7745146,-96.914807,https://www.redfin.com/TX/Dallas/2503-Jim-St-75212/home/30985617
2434 Iroquois St,Dallas,75212,449500,4,2.0,2158,2026,7492,Single Family Residential,,34,48113010602,Dallas,13.66,19.08,32.7729707,-96.9061353,https://www.redfin.com/TX/Dallas/2434-Iroquois-St-75212/home/30986400
